iter	RMSE
0	8.495831761
1	8.34957308
2	8.228277073
3	8.108334359
4	7.992996593
5	7.896037352
6	7.811436217
7	7.740532505
8	7.663117881
9	7.594068647
10	7.518016431
11	7.459432778
12	7.416205051
13	7.368952817
14	7.325123197
15	7.277288689
16	7.241880237
17	7.207502186
18	7.180486416
19	7.148817254
20	7.11388867
21	7.083390369
22	7.063937075
23	7.039463284
24	7.015372162
25	6.991798869
26	6.969326857
27	6.949590356
28	6.928869685
29	6.905526636
30	6.884194543
31	6.867334009
32	6.855088352
33	6.841711476
34	6.827598471
35	6.810171134
36	6.795753644
37	6.785492372
38	6.769559793
39	6.751536001
40	6.735514996
41	6.721780416
42	6.710839604
43	6.694042595
44	6.682514344
45	6.660515278
46	6.651750201
47	6.637520304
48	6.629976488
49	6.624727474
50	6.613654257
51	6.601499067
52	6.594111332
53	6.584868422
54	6.581424138
55	6.571460485
56	6.566969537
57	6.561218729
58	6.54963724
59	6.542989167
60	6.537131213
61	6.531332798
62	6.523850482
63	6.51586409
64	6.507818004
65	6.499774232
66	6.49434256
67	6.488359652
68	6.481256142
69	6.466629024
70	6.457351194
71	6.4505051
72	6.444225764
73	6.43872946
74	6.427648599
75	6.420008779
76	6.414959671
77	6.408612797
78	6.403282936
79	6.398872091
80	6.391116214
81	6.384737404
82	6.378143002
83	6.374111153
84	6.370095073
85	6.364400945
86	6.361111396
87	6.359015672
88	6.3550998
89	6.350942799
90	6.346955139
91	6.340463324
92	6.337048154
93	6.332666815
94	6.328664847
95	6.32559693
96	6.317862522
97	6.311141968
98	6.306139988
99	6.303834713
100	6.293713631
101	6.288764028
102	6.284345188
103	6.281578253
104	6.277077743
105	6.273123203
106	6.262889423
107	6.258678785
108	6.256569911
109	6.254561192
110	6.250043816
111	6.247162849
112	6.245495438
113	6.240889914
114	6.236373032
115	6.231300602
116	6.225677569
117	6.221105336
118	6.212252372
119	6.208521784
120	6.203395101
121	6.200280707
122	6.197155014
123	6.1950059
124	6.188895117
125	6.185284051
126	6.182538786
127	6.177513324
128	6.174770855
129	6.168653571
130	6.162850179
131	6.160310168
132	6.155538542
133	6.151619188
134	6.147476975
