iter	Passed	Remaining
0	4	571
1	8	583
2	13	589
3	16	533
4	20	527
5	25	539
6	29	541
7	34	546
8	39	558
9	44	561
10	50	574
11	54	562
12	60	570
13	64	561
14	71	568
15	74	556
16	79	550
17	84	550
18	90	552
19	93	539
20	97	527
21	99	512
22	102	498
23	106	493
24	110	487
25	114	481
26	119	478
27	124	474
28	129	472
29	135	474
30	141	473
31	146	472
32	152	471
33	157	469
34	163	466
35	168	462
36	173	458
37	177	454
38	182	449
39	185	441
40	189	435
41	195	432
42	202	432
43	206	427
44	212	424
45	215	417
46	222	415
47	227	412
48	233	409
49	237	403
50	241	397
51	247	394
52	253	392
53	259	388
54	264	384
55	269	379
56	273	374
57	278	369
58	283	365
59	287	359
60	291	353
61	295	347
62	299	342
63	304	338
64	307	331
65	312	326
66	316	321
67	321	316
68	325	311
69	330	306
70	335	302
71	340	298
72	344	292
73	348	287
74	354	283
75	359	279
76	364	274
77	368	269
78	373	264
79	379	261
80	384	256
81	387	250
82	393	246
83	398	242
84	403	237
85	408	232
86	413	228
87	418	223
88	423	219
89	428	214
90	432	209
91	438	205
92	448	202
93	452	197
94	457	192
95	460	187
96	464	181
97	469	177
98	477	173
99	481	168
100	487	164
101	491	159
102	497	154
103	501	149
104	506	144
105	512	140
106	517	135
107	522	130
108	525	125
109	531	120
110	537	116
111	541	111
112	546	106
113	550	101
114	554	96
115	558	91
116	564	86
117	568	81
118	572	76
119	576	72
120	581	67
121	586	62
122	590	57
123	597	52
124	602	48
125	607	43
126	612	38
127	617	33
128	623	28
129	628	24
130	633	19
131	638	14
132	644	9
133	650	4
134	655	0
